starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_092754\200p_8g_r1\map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:52638 as conn 1
map_1 accepted 127.0.0.1:52696 as conn 2
map_1 accepted 127.0.0.1:52698 as conn 3
map_1 accepted 127.0.0.1:52699 as conn 4
map_1 accepted 127.0.0.1:52697 as conn 5
map_1 accepted 127.0.0.1:52700 as conn 6
map_1 accepted 127.0.0.1:52701 as conn 7
map_1 accepted 127.0.0.1:52702 as conn 8
[map_1] perf_8g_10_200_180_1783934875467 enter map 1 unit 1178
[map_1] perf_8g_10_200_181_1783934875468 enter map 1 unit 1181
[map_1] perf_8g_10_200_178_1783934875466 enter map 1 unit 1179
[map_1] perf_8g_10_200_179_1783934875467 enter map 1 unit 1180
[map_1] perf_8g_10_200_184_1783934875474 enter map 1 unit 1182
[map_1] perf_8g_10_200_185_1783934875474 enter map 1 unit 1185
[map_1] perf_8g_10_200_183_1783934875473 enter map 1 unit 1183
[map_1] perf_8g_10_200_182_1783934875472 enter map 1 unit 1184
[map_1] perf_8g_10_200_187_1783934875481 enter map 1 unit 1186
[map_1] perf_8g_10_200_186_1783934875480 enter map 1 unit 1189
[map_1] perf_8g_10_200_188_1783934875482 enter map 1 unit 1187
[map_1] perf_8g_10_200_189_1783934875482 enter map 1 unit 1188
[map_1] perf_8g_10_200_193_1783934875489 enter map 1 unit 1190
[map_1] perf_8g_10_200_190_1783934875488 enter map 1 unit 1193
[map_1] perf_8g_10_200_192_1783934875489 enter map 1 unit 1191
[map_1] perf_8g_10_200_191_1783934875488 enter map 1 unit 1192
[map_1] perf_8g_10_200_197_1783934875496 enter map 1 unit 1194
[map_1] perf_8g_10_200_195_1783934875495 enter map 1 unit 1197
[map_1] perf_8g_10_200_196_1783934875496 enter map 1 unit 1195
[map_1] perf_8g_10_200_194_1783934875494 enter map 1 unit 1196
[map_1] perf_8g_10_200_198_1783934875503 enter map 1 unit 1198
[map_1] perf_8g_10_200_199_1783934875504 enter map 1 unit 1199
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=109.17 cpu_time_ms=5515 rss_bytes=80486400 v8_heap_used_bytes=15181928 v8_heap_total_bytes=36712448 v8_gc_count=54 v8_gc_ms=16.080 timestamp_ms=1783934879929
